split,task,model,partition,random_state,true_label,predicted_label,count
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,alcohol,alcohol,84
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,alcohol,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,acetone,alcohol,13
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,acetone,acetone,83
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,air,air,6
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,1.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,air,air,81
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,alcohol,alcohol,88
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,alcohol,acetone,8
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,acetone,alcohol,16
S1_train_I_test_all,three_class_with_air,Random Forest,test,1.0,acetone,acetone,80
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,air,air,6
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,2.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,air,air,81
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,alcohol,alcohol,88
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,alcohol,acetone,8
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,acetone,alcohol,15
S1_train_I_test_all,three_class_with_air,Random Forest,test,2.0,acetone,acetone,81
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,air,air,6
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,3.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,air,air,81
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,alcohol,alcohol,85
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,alcohol,acetone,11
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,acetone,alcohol,14
S1_train_I_test_all,three_class_with_air,Random Forest,test,3.0,acetone,acetone,82
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,air,air,6
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,4.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,air,air,81
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,alcohol,alcohol,85
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,alcohol,acetone,11
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,acetone,alcohol,15
S1_train_I_test_all,three_class_with_air,Random Forest,test,4.0,acetone,acetone,81
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,air,air,6
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,air,alcohol,0
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,air,acetone,0
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,alcohol,air,1
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,alcohol,alcohol,11
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,acetone,air,1
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,acetone,alcohol,2
S1_train_I_test_all,three_class_with_air,RBF SVM,train,,acetone,acetone,9
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,air,air,75
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,air,alcohol,5
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,air,acetone,1
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,alcohol,air,7
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,alcohol,alcohol,62
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,alcohol,acetone,27
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,acetone,air,3
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,acetone,alcohol,35
S1_train_I_test_all,three_class_with_air,RBF SVM,test,,acetone,acetone,58
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,air,air,6
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,0.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,air,air,70
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,air,alcohol,11
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,alcohol,air,6
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,alcohol,alcohol,73
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,alcohol,acetone,17
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,acetone,air,13
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,acetone,alcohol,8
S1_train_I_test_all,three_class_with_air,MLP,test,0.0,acetone,acetone,75
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,air,air,6
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,1.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,air,air,68
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,air,alcohol,13
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,alcohol,air,2
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,alcohol,alcohol,90
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,alcohol,acetone,4
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,acetone,air,3
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,acetone,alcohol,34
S1_train_I_test_all,three_class_with_air,MLP,test,1.0,acetone,acetone,59
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,air,air,6
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,2.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,air,air,67
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,air,alcohol,14
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,alcohol,air,5
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,alcohol,alcohol,68
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,alcohol,acetone,23
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,acetone,air,13
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,acetone,alcohol,18
S1_train_I_test_all,three_class_with_air,MLP,test,2.0,acetone,acetone,65
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,air,air,6
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,3.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,air,air,66
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,air,alcohol,14
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,air,acetone,1
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,alcohol,air,5
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,alcohol,alcohol,81
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,alcohol,acetone,10
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,acetone,air,19
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,acetone,alcohol,25
S1_train_I_test_all,three_class_with_air,MLP,test,3.0,acetone,acetone,52
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,air,air,6
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,MLP,train,4.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,air,air,67
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,air,alcohol,13
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,air,acetone,1
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,alcohol,air,4
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,alcohol,alcohol,69
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,alcohol,acetone,23
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,acetone,air,2
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,acetone,alcohol,30
S1_train_I_test_all,three_class_with_air,MLP,test,4.0,acetone,acetone,64
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,air,air,5
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,air,alcohol,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,alcohol,alcohol,12
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,acetone,air,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,acetone,alcohol,2
S2_train_I_internal_val_test_all,three_class_with_air,LDA,train,,acetone,acetone,9
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,air,air,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,alcohol,alcohol,2
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,acetone,alcohol,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,acetone,acetone,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,air,air,57
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,air,alcohol,24
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,alcohol,air,3
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,alcohol,alcohol,92
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,alcohol,acetone,1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,acetone,air,15
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,acetone,alcohol,27
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,acetone,acetone,54
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,air,air,6
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,alcohol,alcohol,12
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,acetone,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,acetone,acetone,12
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,air,air,1
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,alcohol,alcohol,2
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,acetone,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,acetone,acetone,2
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,air,air,66
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,air,alcohol,15
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,alcohol,alcohol,95
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,alcohol,acetone,1
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,acetone,alcohol,34
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,acetone,acetone,62
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,air,air,6
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,alcohol,alcohol,12
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,acetone,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,acetone,acetone,12
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,air,air,1
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,alcohol,alcohol,1
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,alcohol,acetone,1
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,acetone,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,acetone,acetone,2
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,air,air,60
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,air,alcohol,15
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,air,acetone,6
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,alcohol,air,8
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,alcohol,alcohol,46
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,alcohol,acetone,42
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,acetone,air,2
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,acetone,alcohol,23
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,acetone,acetone,71
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,air,air,6
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,alcohol,12
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,acetone,alcohol,3
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,acetone,acetone,9
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,air,air,1
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,air,alcohol,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,air,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,alcohol,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,alcohol,alcohol,2
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,alcohol,acetone,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,acetone,air,0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,acetone,alcohol,1
