architecture,split,variant,description,method,mode,label_usage,selection_usage,final_training,alignment_strength,centroid_strength,algorithm_provenance,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,domain_accuracy,domain_accuracy_std,domain_accuracy_min,domain_accuracy_max,domain_balanced_accuracy,domain_balanced_accuracy_std,domain_balanced_accuracy_min,domain_balanced_accuracy_max,domain_source_recall,domain_source_recall_std,domain_source_recall_min,domain_source_recall_max,domain_target_recall,domain_target_recall_std,domain_target_recall_min,domain_target_recall_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max,split_short
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,deep-coral,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.001,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",0.8400000000000001,0.036514837167011,0.8,0.9,0.8666666666666666,0.0304290309725092,0.8333333333333334,0.9166666666666666,0.8313037942449707,0.0377747434606479,0.791919191919192,0.8943001443001443,0.6608058608058608,0.0125828307965697,0.6483516483516484,0.6776556776556777,0.6722993827160495,0.0138839464037748,0.6598508230452674,0.6912294238683128,0.6568566519430646,0.0088823328507526,0.6450056853755108,0.6650768116739079,,,,,,,,,,,,,,,,,12.0,4.47213595499958,10.0,20.0,S3
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,mk-mmd,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.01,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",0.8333333333333334,0.0408248290463862,0.8,0.9,0.861111111111111,0.0340206908719885,0.8333333333333334,0.9166666666666666,0.8252262116968,0.0414970085613123,0.791919191919192,0.8943001443001443,0.6637362637362637,0.0180195954230752,0.6483516483516484,0.6923076923076923,0.6753343621399177,0.0193843292945887,0.6608796296296297,0.7064043209876543,0.6597364495675937,0.0133094816804653,0.6450056853755108,0.6809022003545856,,,,,,,,,,,,,,,,,12.0,4.47213595499958,10.0,20.0,S3
one-layer,S4_train_I_val_D1_2,MLP Source-only,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,source-only,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.796734693877551,0.0078511771680291,0.7877551020408163,0.8081632653061225,0.7974514176489327,0.0070923101731838,0.7894764787087182,0.8081660826165445,0.7971308437862843,0.0079768782970568,0.7887745601313441,0.8080902749415193,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S4
one-layer,S4_train_I_val_D1_2,MLP Source+Target,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,source-only,semi,source + labeled target,target validation labels,Source+Target refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8661224489795918,0.0120390866969409,0.8448979591836735,0.8734693877551021,0.8694170117871934,0.0114324660494206,0.8492619730275034,0.8763937559732399,0.8655899023194206,0.0123306794915968,0.8439214445047326,0.8737630880488023,,,,,,,,,,,,,,,,,132.0,58.90670590009256,60.0,200.0,S4
one-layer,S4_train_I_val_D1_2,DANN-UDA,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8089795918367347,0.0293480457342817,0.7673469387755102,0.8448979591836735,0.8089412764149941,0.0276368554673514,0.7700966337474778,0.8430498035467772,0.8111429016131041,0.0289844406751384,0.7738317771944754,0.8482633053221288,0.9042904290429042,0.0066006600660065,0.8943894389438944,0.9108910891089108,0.5463369963369964,0.0202846579532545,0.5148351648351649,0.5648351648351648,0.1,0.0408248290463863,0.0333333333333333,0.1333333333333333,0.9926739926739928,0.0063445084526332,0.9816849816849816,0.9963369963369964,400.0,0.0,400.0,400.0,S4
one-layer,S4_train_I_val_D1_2,DANN-SEMI,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,dann,semi,source + labeled target,target validation labels,Source+Target refit,0.05,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8718367346938776,0.0079565668120889,0.8612244897959184,0.8816326530612245,0.8745672719549751,0.0080265172491996,0.8633853668896676,0.8841456939577359,0.8720972814186091,0.0074683857217497,0.863134484563056,0.8814451951951953,0.9201320132013204,0.0082177555102235,0.9075907590759076,0.9273927392739274,0.6144688644688644,0.0476642853592411,0.5481684981684982,0.663003663003663,0.2333333333333333,0.097182531580755,0.1,0.3333333333333333,0.9956043956043956,0.003064688741883,0.9926739926739928,1.0,230.0,127.08265027138836,90.0,380.0,S4
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,deep-coral,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8302040816326531,0.0274715406864715,0.8040816326530612,0.8653061224489796,0.8282680259105872,0.0263335471520834,0.8029096315174683,0.8617394074546034,0.8309235043271233,0.0276939791752113,0.8065631666954967,0.8667623421354765,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S4
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,deep-coral,semi,source + labeled target,target validation labels,Source+Target refit,0.001,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8824489795918368,0.0060540395813025,0.8734693877551021,0.889795918367347,0.8845067431241371,0.0058510384060461,0.8757035149198259,0.891897631942232,0.8831792350826564,0.0061551324344859,0.8740658240848941,0.89016186064763,,,,,,,,,,,,,,,,,232.0,82.58329128825031,130.0,350.0,S4
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,mk-mmd,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8612244897959183,0.0095722770608641,0.8448979591836735,0.8693877551020408,0.858829775937135,0.0091710333241367,0.8430498035467772,0.8663056175002656,0.8632671872713802,0.0096649758559011,0.8468930520450894,0.8717374665135859,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S4
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,mk-mmd,semi,source + labeled target,target validation labels,Source+Target refit,1.0,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",0.993103448275862,0.0154211584655157,0.9655172413793104,1.0,0.993939393939394,0.0135519271363623,0.9696969696969696,1.0,0.9923809523809524,0.0170367083999983,0.961904761904762,1.0,0.9281632653061224,0.0194895287939809,0.8938775510204081,0.9428571428571428,0.9281936922586812,0.0184521678006785,0.8957736009344802,0.9422852288414568,0.9291283998941976,0.0200707320510569,0.8937841368780596,0.944054257653888,,,,,,,,,,,,,,,,,216.0,128.9573572930215,40.0,380.0,S4
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,source-only,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7974025974025973,0.0077439583636356,0.7878787878787878,0.8095238095238095,0.7982465557344784,0.007163174933062,0.7897656110216497,0.809626051171945,0.7980920981798224,0.0074247371614627,0.7893500834677306,0.8098699987378518,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S5
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,source-only,semi,source + labeled target,target validation labels,Source+Target refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.986111111111111,0.031056499687497,0.9305555555555556,1.0,0.9876543209876544,0.0276057774999973,0.9382716049382716,1.0,0.985638179800222,0.0321140062473332,0.9281908990011098,1.0,0.8831168831168832,0.0074980554440211,0.8787878787878788,0.8961038961038961,0.8851672928967617,0.0076502872589446,0.8804795133297548,0.8983718017534442,0.8829556009195819,0.0075011077679695,0.8782121539497818,0.8959875799054585,,,,,,,,,,,,,,,,,132.0,111.22050170719426,20.0,290.0,S5
one-layer,S5_train_I_D1_val_D2_3,DANN-UDA,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8086580086580086,0.0255007384848885,0.7705627705627706,0.8398268398268398,0.8088030059044552,0.0240078910085673,0.7733047056718555,0.8384326355340849,0.8111702836892656,0.0248648340227191,0.7769835103168435,0.8434180304335342,0.9042904290429042,0.0066006600660065,0.8943894389438944,0.9108910891089108,0.5463369963369964,0.0202846579532545,0.5148351648351649,0.5648351648351648,0.1,0.0408248290463863,0.0333333333333333,0.1333333333333333,0.9926739926739928,0.0063445084526332,0.9816849816849816,0.9963369963369964,400.0,0.0,400.0,400.0,S5
one-layer,S5_train_I_D1_val_D2_3,DANN-SEMI,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,dann,semi,source + labeled target,target validation labels,Source+Target refit,0.5,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.9916666666666668,0.0186338998124982,0.9583333333333334,1.0,0.9925925925925926,0.0165634664999984,0.9629629629629628,1.0,0.9913575382306032,0.0193251320093142,0.9567876911530164,1.0,0.8935064935064935,0.0099661163923994,0.8831168831168831,0.9047619047619048,0.8941850062623008,0.0096474117497729,0.8831633565933084,0.905170871354446,0.8943990034055981,0.0101446084947733,0.8834200754471834,0.9059344224307728,0.9016501650165016,0.0063483115715086,0.8910891089108911,0.9075907590759076,0.5330036630036631,0.0209326317693322,0.5,0.5481684981684982,0.0733333333333333,0.0434613493680176,0.0,0.1,0.9926739926739928,0.0068528523567288,0.9816849816849816,1.0,138.0,100.59821071967431,30.0,280.0,S5
one-layer,S5_train_I_D1_val_D2_3,DEEP-CORAL-UDA,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,deep-coral,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8294372294372294,0.02661545653496,0.8008658008658008,0.8614718614718615,0.8276972624798711,0.0255859724458757,0.7999642154231527,0.85829307568438,0.8302952343562329,0.0266489816992575,0.8042849277250449,0.8631383025371449,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S5
one-layer,S5_train_I_D1_val_D2_3,DEEP-CORAL-SEMI,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,deep-coral,semi,source + labeled target,target validation labels,Source+Target refit,1.0,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",0.9916666666666668,0.0186338998124982,0.9583333333333334,1.0,0.9925925925925926,0.0165634664999984,0.9629629629629628,1.0,0.9913575382306032,0.0193251320093142,0.9567876911530164,1.0,0.9116883116883118,0.0049358243510785,0.9047619047619048,0.9177489177489178,0.9113258185721952,0.005477787730231,0.9030237967436036,0.9175165503667918,0.9134507511549484,0.0049659031785257,0.906568643262907,0.919404307980467,,,,,,,,,,,,,,,,,150.0,143.0034964607509,30.0,330.0,S5
one-layer,S5_train_I_D1_val_D2_3,MK-MMD-UDA,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,mk-mmd,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8588744588744588,0.0094843732901327,0.8441558441558441,0.8701298701298701,0.8568259080336376,0.0090408301089843,0.8425478618715333,0.8672392198962248,0.8609910563640522,0.0096544967534707,0.8460626104806979,0.8724357783544535,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S5
one-layer,S5_train_I_D1_val_D2_3,MK-MMD-SEMI,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,mk-mmd,semi,source + labeled target,target validation labels,Source+Target refit,1.0,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.923809523809524,0.00897681443867,0.9090909090909092,0.9307359307359307,0.924136697083557,0.0087058440692094,0.9100017892288422,0.9305779209160852,0.924931293433254,0.0093222211052576,0.9096904611264448,0.9325380566820426,,,,,,,,,,,,,,,,,82.0,42.07136793592526,40.0,140.0,S5
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,source-only,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7980487804878049,0.0095090676534721,0.7853658536585366,0.8097560975609757,0.7981220657276995,0.0089098814779784,0.7862731947238989,0.8091512035174007,0.7985049255166113,0.0092938239028301,0.7865968764009548,0.8099141295862607,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S6
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,source-only,semi,source + labeled target,target validation labels,Source+Target refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.9897959183673468,0.0176739878323355,0.9591836734693876,1.0,0.990990990990991,0.0156040613294493,0.963963963963964,1.0,0.9895778877761148,0.0186794789124307,0.9569000933706816,1.0,0.9385365853658536,0.0167566478412854,0.9121951219512195,0.951219512195122,0.9378642223712644,0.0163053682643261,0.9125121096952084,0.9506669647514716,0.9385105495378568,0.0169332922521173,0.9115628516837088,0.9511793823143484,,,,,,,,,,,,,,,,,174.0,140.46351839534705,30.0,350.0,S6
one-layer,S6_train_I_D1_2_val_D3_5,DANN-UDA,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8136585365853659,0.026807086173725,0.7707317073170732,0.8439024390243902,0.8131455399061032,0.0255680275933309,0.7721886876816454,0.8420150532826588,0.8162561572202207,0.0256614030419433,0.7770480265499713,0.8475273184285786,0.9042904290429042,0.0066006600660065,0.8943894389438944,0.9108910891089108,0.5463369963369964,0.0202846579532545,0.5148351648351649,0.5648351648351648,0.1,0.0408248290463863,0.0333333333333333,0.1333333333333333,0.9926739926739928,0.0063445084526332,0.9816849816849816,0.9963369963369964,400.0,0.0,400.0,400.0,S6
one-layer,S6_train_I_D1_2_val_D3_5,DANN-SEMI,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,dann,semi,source + labeled target,target validation labels,Source+Target refit,0.5,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.993877551020408,0.0136902121071415,0.9693877551020408,1.0,0.9945945945945944,0.0120868539324313,0.9729729729729728,1.0,0.9936275430359938,0.0142492469552099,0.9681377151799688,1.0,0.9307317073170732,0.0126265162005314,0.9121951219512195,0.946341463414634,0.9291601460615546,0.01203010872942,0.9125121096952084,0.9453759594604664,0.9304945857781494,0.0127672493505798,0.9116649797570848,0.9464563782762876,0.9023102310231024,0.0055225084259675,0.8976897689768977,0.9108910891089108,0.5363369963369964,0.0368124122893392,0.5,0.5945054945054945,0.08,0.0767390962214756,0.0,0.2,0.9926739926739928,0.0044862449501523,0.989010989010989,1.0,96.0,60.24948132556828,30.0,190.0,S6
one-layer,S6_train_I_D1_2_val_D3_5,DEEP-CORAL-UDA,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,deep-coral,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8360975609756098,0.0235463773388237,0.8097560975609757,0.8634146341463415,0.8343840822714063,0.0228296889032913,0.8085550339071466,0.8607943960056635,0.8368020847369813,0.0236007473472501,0.8124776583194434,0.864758248078216,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0,S6
